length_char,length_word,num_uppercase,uppercase_ratio,num_exclamation,num_question,num_special_chars,num_digits,num_links,repeat_word_ratio,duplicate_char_ratio,contains_promo_words,contains_brand,contains_call_action,rating,time_comment,is_night,num_repeated_phrases,if_score,rule_score,final_score,label
75,14,4,0.0533333333333333,0,0,8,10,0,0.0,0.1866666666666666,0,0,1,5,16.46,0,0,0.48004284660712054,12.399999999999999,0.7155485393088593,0
71,17,6,0.0845070422535211,0,0,2,0,0,0.1176470588235294,0.0,1,0,1,5,16.15,0,0,0.4376197106707912,1.9499999999999997,0.3135998314284612,0
81,17,17,0.2098765432098765,0,0,2,0,0,0.0588235294117647,0.0,1,0,1,5,15.04,0,0,0.4682324497676646,2.55,0.3982997200586248,0
90,18,1,0.0111111111111111,0,0,6,0,1,0.2777777777777778,0.0333333333333333,1,0,1,5,9.47,0,3,0.5456228997757333,10.85,0.8131105904344124,1
83,16,24,0.2891566265060241,0,0,3,0,1,0.0,0.036144578313253,1,0,1,5,13.21,0,0,0.5413010031624207,11.45,0.8214103149278107,1
90,19,15,0.1666666666666666,0,0,5,2,1,0.0526315789473684,0.0,1,0,0,5,15.4,0,0,0.4786079272110989,7.949999999999999,0.5807536432468422,0
101,19,2,0.0198019801980198,5,0,7,10,0,0.1052631578947368,0.0396039603960396,0,0,1,5,17.48,0,1,0.5256628329003401,9.5,0.7295181722999615,0
88,19,26,0.2954545454545454,0,0,5,0,1,0.0,0.0,1,0,1,5,18.14,0,0,0.5398363660384163,11.45,0.8182072325312164,1
62,13,9,0.1451612903225806,0,0,6,5,1,0.1538461538461538,0.0483870967741935,1,0,0,5,9.09,0,0,0.5049142842540034,9.35,0.6797043456382418,0
90,18,11,0.1222222222222222,1,0,3,15,0,0.0,0.0,1,0,1,5,19.09,0,0,0.5030619138497378,7.65,0.6253574534815212,0
108,20,1,0.0092592592592592,4,0,9,0,1,0.5,0.0648148148148148,1,0,1,5,11.5,0,7,0.6500142545646587,13.55,1.121290509928851,1
76,16,1,0.0131578947368421,0,0,3,12,0,0.0,0.0,0,0,1,5,14.03,0,0,0.41659604304005493,11.2,0.5412908432618412,0
86,17,0,0.0,3,0,5,10,0,0.0,0.0348837209302325,1,0,1,5,0.55,1,0,0.585141967666993,10.2,0.8803058912640752,1
